ID,Date Time,ConfP (psi),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),CFluidTemp,DilaFBK (mL),ISCO Volume (mL),DnStream Flow (SCCM),Schu DIA 01,Schu DIA 02,PorePress (psig),Schu01_cm,Schu02_cm,Dia_cm (sch 01),Dia_cm (sch 02),Dia_cm (avg),Isco & Dila cm3,Isco & Dila cm3,Schu 01,Schu 02,Schu Avg,"Isco, Dila, Schu",Isco-Dila cm3,Schu Avg - Isco cm3,Schu 01,Schu 02,Schu Avg,Schu Avg-Isco-Dila,cm3/hr,Frac Denisty (Schu Avg) * 10,Frac Denisty (Isco-Dila) * 10,Confining Pressure (MPa),Temp C/10,Pore Pressure (MPa),Effective Stress
109,42466.39296,132.525,192.2,184.8,169.2,24.3,22.1,170.9,35.7205,352.967,2.2776,-0.0149077,0.592352,-11.1006,0,0,10.19227368,10.19227368,10.19227368,0,55,0,0,0,0,0.733904806,0.733904806,0.733904806,0.733904806,0.733904806,0.733904806,,7.339048058,7.339048058,0.913724525,17.09,-0.076535676,0.990260201
110,42466.39308,160.41,190,185.3,169.2,24.3,22.1,170.9,35.7205,348.766,2.2776,-0.0143574,0.592352,-11.1006,-0.001397762,0,10.19367144,10.19227368,10.19297256,-4.201,50.799,0.383770976,0,0.191873044,0.191873044,0.733761615,0.733761615,0.733618462,0.733904806,0.733761615,0.733761615,#N/A,7.337616154,7.337616154,1.105984162,17.09,-0.076535676,1.182519838
111,42466.39319,195.112,188.5,185.9,169.2,24.3,22.1,171,35.7205,344.673,2.2776,-0.0153969,0.592445,-11.1006,0.001242568,0.00023622,10.19103111,10.19203746,10.19153429,-8.294,46.706,-0.341077173,-0.064846974,-0.202968523,-0.202968523,0.734056337,0.734056337,0.734159482,0.733953212,0.734056337,0.734056337,#N/A,7.340563373,7.340563373,1.345245196,17.1,-0.076535676,1.421780872
112,42466.39332,239.729,187.2,186.9,169.2,24.3,22.1,171,35.7205,340.425,2.2776,-0.015886,0.592817,-11.1006,0.002484882,0.0011811,10.1897888,10.19109258,10.19044069,-12.542,42.458,-0.682005993,-0.32420644,-0.50311704,-0.50311704,0.734280536,0.734280536,0.734414224,0.734146881,0.734280536,0.734280536,#N/A,7.342805359,7.342805359,1.65286751,17.1,-0.076535676,1.729403186
113,42466.39344,279.388,186.3,187.2,169.2,24.3,22.1,171.1,35.7205,336.673,2.2776,-0.0159777,0.59322,-11.1006,0.0027178,0.00220472,10.18955588,10.19006896,10.18981242,-16.294,38.706,-0.745917039,-0.605127868,-0.67552413,-0.67552413,0.734409379,0.734409379,0.734461998,0.734356765,0.734409379,0.734409379,#N/A,7.344093788,7.344093788,1.926305736,17.11,-0.076535676,2.002841412
114,42466.39355,325.554,185.4,186.9,169.1,24.3,22.1,171.1,35.7205,332.518,2.2776,-0.0166503,0.593592,-11.1006,0.004426204,0.0031496,10.18784748,10.18912408,10.18848578,-20.449,34.551,-1.214606503,-0.864392583,-1.039509919,-1.039509919,0.73468154,0.73468154,0.734812537,0.734550575,0.73468154,0.73468154,#N/A,7.346815404,7.346815404,2.244607992,17.11,-0.076535676,2.321143668
115,42466.39367,372.959,185,186.4,169.1,24.3,22.1,171.2,35.7324,327.913,2.2776,-0.0175062,0.594368,-11.1006,0.00660019,0.00512064,10.18567349,10.18715304,10.18641326,-25.054,29.946,-1.810810422,-1.405077987,-1.607958138,-1.607958138,0.735106988,0.735106988,0.735258929,0.734955088,0.735106988,0.735106988,#N/A,7.351069877,7.351069877,2.571452822,17.12,-0.076535676,2.647988498
116,42466.39378,418.196,184.4,185.9,169.1,24.3,22.1,171.1,35.7205,323.82,2.2776,-0.0186374,0.59505,-11.1006,0.009473438,0.00685292,10.18280024,10.18542076,10.1841105,-29.147,25.853,-2.598413966,-1.880104644,-2.239303007,-2.239303007,0.735580087,0.735580087,0.735849459,0.735310846,0.735580087,0.735580087,#N/A,7.35580087,7.35580087,2.883349871,17.11,-0.076535676,2.959885547
117,42466.39389,463.742,184,185.3,169.1,24.3,22.1,171.2,35.7205,319.23,2.2776,-0.0219696,0.596011,-11.1006,0.017937226,0.00929386,10.17433645,10.18297982,10.17865814,-33.737,21.263,-4.916032693,-2.549201058,-3.733092068,-3.733092068,0.736701889,0.736701889,0.737592681,0.735812532,0.736701889,0.736701889,#N/A,7.367018889,7.367018889,3.197377392,17.12,-0.076535676,3.273913068
118,42466.394,497.514,187.4,184.8,169.1,24.3,22.1,171.3,35.7205,315.447,2.2776,-0.0248433,0.597469,-11.1006,0.025236424,0.01299718,10.16703726,10.1792765,10.17315688,-37.52,17.48,-6.911828236,-3.563754668,-5.238743791,-5.238743791,0.737836067,0.737836067,0.739100473,0.736574548,0.737836067,0.737836067,#N/A,7.378360672,7.378360672,3.430226323,17.13,-0.076535676,3.506762
